timestamp: Fri Feb 15 00:40:51 EST 2019
rank,test,barrier,time
rank 2, test 4, use_barrier 0time in seconds: 0.089068, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1time in seconds: 0.083868, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0time in seconds: 0.090129, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1time in seconds: 0.084821, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0time in seconds: 0.083455, (use_barrier: 0, ranks: ./a.out)
rank 2, test 6, use_barrier 1time in seconds: 0.089024, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0time in seconds: 0.083853, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1time in seconds: 0.081223, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0time in seconds: 0.050062, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1time in seconds: 0.055657, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0time in seconds: 0.048006, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1time in seconds: 0.049146, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0time in seconds: 0.049262, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1time in seconds: 0.048860, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0time in seconds: 0.044101, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1time in seconds: 0.051430, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0time in seconds: 0.050170, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1time in seconds: 0.050536, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0time in seconds: 0.054897, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1time in seconds: 0.051004, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0time in seconds: 0.047640, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1time in seconds: 0.052428, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0time in seconds: 0.030932, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1time in seconds: 0.032862, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0time in seconds: 0.026510, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1time in seconds: 0.025063, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0time in seconds: 0.026212, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1time in seconds: 0.027425, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0time in seconds: 0.026592, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1time in seconds: 0.034378, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0time in seconds: 0.031915, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1time in seconds: 0.027560, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0time in seconds: 0.029748, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1time in seconds: 0.031088, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0time in seconds: 0.026957, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1time in seconds: 0.027554, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0time in seconds: 0.012911, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1time in seconds: 0.018930, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0time in seconds: 0.013567, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1time in seconds: 0.014667, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0time in seconds: 0.013951, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1time in seconds: 0.014854, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0time in seconds: 0.013452, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1time in seconds: 0.014706, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0time in seconds: 0.014172, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1time in seconds: 0.015197, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0time in seconds: 0.014167, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1time in seconds: 0.015558, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0time in seconds: 0.014092, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1time in seconds: 0.015491, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0time in seconds: 0.008240, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1time in seconds: 0.008943, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0time in seconds: 0.008304, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1time in seconds: 0.012558, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0time in seconds: 0.008261, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1time in seconds: 0.008725, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0time in seconds: 0.009498, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1time in seconds: 0.008829, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0time in seconds: 0.008460, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1time in seconds: 0.011101, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0time in seconds: 0.008353, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1time in seconds: 0.011784, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0time in seconds: 0.008167, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1time in seconds: 0.008815, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0time in seconds: 0.081994, (use_barrier: 0, ranks: ./a.out)
